Device Name,IP Address,Site,Manufacturer,Model,IOS Version,Region
SGJRSHSL6,146.40.23.130,SGJR,Cisco,Cisco Catalyst 38xx stack,16.9.5,APAC
SINQX1-MS2,146.46.190.132,SINQX1,Cisco,Cisco Catalyst 29xxStack,15.2(2)E5,APAC
SINQX1RD1,146.46.190.155,SINQX1,Cisco,Cisco ASR 1001-X Router,15.4(3)S4,APAC
SINQX1RD2,146.46.190.156,SINQX1,Cisco,Cisco ASR 1001-X Router,15.4(3)S4,APAC
SINQX1RD3,146.46.190.157,SINQX1,Cisco,Cisco ASR 1001-X Router,15.4(3)S4,APAC
SINQX1RE1,146.46.190.134,SINQX1,Cisco,Catalyst 6880-X,15.5(1)SY6,APAC
SINQX1RE10-VSS,146.46.190.149,SINQX1,Cisco,Cisco Catalyst 4500 L3,03.06.05.E RELEASE SOFTWARE (fc2),APAC
SINQX1RE2,146.46.190.135,SINQX1,Cisco,Catalyst 6880-X,15.5(1)SY6,APAC
SINQX1RE20-VSS,146.46.190.153,SINQX1,Cisco,Cisco Catalyst 4500 L3,03.06.05.E RELEASE SOFTWARE (fc2),APAC
SINQX1RI1-VSS,146.46.190.136,SINQX1,Cisco,Cisco Catalyst 4500 L3,03.08.01.E RELEASE SOFTWARE (fc2),APAC
SINQX1-RQ1,139.65.132.60,SINQX1,Cisco,Cisco 881 Router,15.5(3)M6a,APAC
SINQX1SE10-VSS,146.46.190.151,SINQX1,Cisco,Cisco Catalyst 4500 L3,03.08.01.E RELEASE SOFTWARE (fc2),APAC
SINQX1SE1-VSS,146.46.190.138,SINQX1,Cisco,Cisco Catalyst 4500 L3,03.06.05.E RELEASE SOFTWARE (fc2),APAC
SINSI2ADMINCE2-3945,146.40.18.249,SINSI2,Cisco,Cisco 3945SPE250,15.5(3)M6a,APAC
SINSI2DCCE1-3945,146.40.18.248,SINSI2,Cisco,Cisco 3945SPE250,15.5(3)M6a,APAC
SINSI2RG11,146.44.112.1,SINSI2,Cisco,Cisco Nexus 93180YC-FX,9.3(3),APAC
SINSI2RG11,146.40.18.6,SINSI2,Cisco,Cisco Nexus 93180YC-FX,9.3(3),APAC
SINSI2RG12,146.40.18.7,SINSI2,Cisco,Cisco Nexus 93180YC-FX,9.3(3),APAC
SINSI2SL11,146.40.60.23,SINSI2,Cisco,Cisco Catalyst 38xx stack,16.12.7,APAC
SINSI2SL12-9300,146.40.60.29,SINSI2,Cisco,Cisco Catalyst 9300 Series Switch,17.3.5,APAC
SINSI2SL13-9300,146.40.60.20,SINSI2,Cisco,Cisco Catalyst 9300 Series Switch,17.3.5,APAC
SINSI2SL19,146.40.19.8,SINSI2,Cisco,Cisco Catalyst 38xx stack,16.12.7,APAC
SINSI2SL21-9300,146.40.60.8,SINSI2,Cisco,Cisco Catalyst 9300 Series Switch,17.3.5,APAC
SINSI2SL22,146.40.60.22,SINSI2,Cisco,Catalyst 37xx Stack,15.0(2)SE7,APAC
SINSI2SL26,146.40.60.26,SINSI2,Cisco,Cisco Catalyst 38xx stack,16.12.7,APAC
