Device Name,Error,IOS Version,IP Address,Manufacturer,Model,Region,Site,ios version
F06303RE1,Cannot connect to 144.5.171.243,15.5(3)M7,144.5.171.243,Cisco,Cisco 2921K9,APAC,F06303,
F07058-D49-EL27B,Cannot connect to 134.248.222.16,7.3(3)N1(1),134.248.222.16,Cisco,Cisco Nexus 5548,APAC,F07058,
F07058-D49-HSL25B,Cannot connect to 134.248.222.18,7.3(3)N1(1),134.248.222.18,Cisco,Cisco Nexus 5548,APAC,F07058,
F07058-D49-PL29B,Cannot connect to 134.248.222.12,7.3(3)N1(1),134.248.222.12,Cisco,Cisco Nexus 5548,APAC,F07058,
F07058-E27-MS26,Cannot connect to 134.248.222.109,15.2(2)E5,134.248.222.109,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-E27-PL29B,Cannot connect to 134.248.222.99,7.3(3)N1(1),134.248.222.99,Cisco,Nexus 56128P,APAC,F07058,
F07058-E35-EL27B,,7.3(3)N1(1),134.248.222.80,Cisco,Cisco Nexus 5548,APAC,F07058,Cisco Nexus
F07058-E35-HSL25B,,7.3(3)N1(1),134.248.222.82,Cisco,Cisco Nexus 5548,APAC,F07058,Cisco Nexus
F07058-E35-PL29B,Cannot connect to 134.248.222.78,7.3(3)N1(1),134.248.222.78,Cisco,Cisco Nexus 5548,APAC,F07058,
F07058-E41-MS42,Cannot connect to 134.248.222.89,15.2(4)E5,134.248.222.89,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-E41-PCNLAB01B,,7.3(3)N1(1),134.248.222.138,Cisco,Cisco Nexus 5548,APAC,F07058,Cisco Nexus
F07058-E43-PL24B,Cannot connect to 134.248.222.14,7.3(3)N1(1),134.248.222.14,Cisco,Cisco Nexus 5548,APAC,F07058,
F07058-E43-PL28B,Cannot connect to 134.248.222.31,7.3(3)N1(1),134.248.222.31,Cisco,Cisco Nexus 5596 UP,APAC,F07058,
F07058-E43-PL30B,Cannot connect to 134.248.222.29,7.3(3)N1(1),134.248.222.29,Cisco,Cisco Nexus 5596 UP,APAC,F07058,
F07058-E49-MS42,,15.2(4)E5,134.248.222.19,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-H43-MS42,Cannot connect to 134.248.222.41,15.0(2)SE11,134.248.222.41,Cisco,Cisco Catalyst 3560CG-8PC-S,APAC,F07058,
F07058-H51-AS23,Cannot connect to 134.248.222.5,6.2(16),134.248.222.5,Cisco,Cisco Nexus 7000 Series,APAC,F07058,
F07058-H51-AS23-HS,,6.2(16),134.248.222.52,Cisco,Cisco Nexus 7000 Series,APAC,F07058,Cisco Nexus
F07058-H51-AS23-PR,Cannot connect to 134.248.222.54,6.2(16),134.248.222.54,Cisco,Cisco Nexus 7000 Series,APAC,F07058,
F07058-I41-MS42,,15.2(4)E5,134.248.222.91,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-I43-MS42,,15.0(2)SE11,134.248.222.40,Cisco,Cisco Catalyst 3560CG-8PC-S,APAC,F07058,
F07058-J33-MS45,Cannot connect to 134.248.222.107,15.0(2)SE11,134.248.222.107,Cisco,Cisco Catalyst 3560CG-8PC-S,APAC,F07058,
F07058-J41-MS42,Cannot connect to 134.248.222.92,15.2(4)E5,134.248.222.92,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-J43-MS42,Cannot connect to 134.248.222.39,15.0(2)SE11,134.248.222.39,Cisco,Cisco Catalyst 3560CG-8PC-S,APAC,F07058,
F07058-J49-MS42,Cannot connect to 134.248.222.22,15.2(4)E5,134.248.222.22,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-J51-AR23,,6.2(16),134.248.222.3,Cisco,Cisco Nexus 7000 Series,APAC,F07058,Cisco Nexus
F07058-J51-AR23-HS,Cannot connect to 134.248.222.58,6.2(16),134.248.222.58,Cisco,Cisco Nexus 7000 Series,APAC,F07058,
F07058-J51-SL28,Cannot connect to 146.29.192.197,15.0(2)SE11,146.29.192.197,Cisco,Cisco Catalyst 3560CG-8PC-S,APAC,F07058,
F07058-L25-PL45,Cannot connect to 134.248.222.104,7.3(3)N1(1),134.248.222.104,Cisco,Cisco Nexus 5548,APAC,F07058,
F07058-L41-MS42,Cannot connect to 134.248.222.93,15.2(4)E5,134.248.222.93,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-N41-MS42,Cannot connect to 134.248.222.94,15.2(4)E5,134.248.222.94,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-N49-MS42,Cannot connect to 134.248.222.24,15.2(4)E5,134.248.222.24,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-O25-PL45,Cannot connect to 134.248.222.106,7.3(3)N1(1),134.248.222.106,Cisco,Cisco Nexus 5548,APAC,F07058,
F07058-O41-MS42,,15.2(4)E5,134.248.222.95,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
